recency,history_segment,zip_code,newbie,channel,segment,conversion
5,1) $0 - $100,Rural,新規,Web,No E-Mail,0
5,4) $350 - $500,Surburban,既存,Multichannel,Womens E-Mail,0
8,1) $0 - $100,Surburban,既存,Web,Womens E-Mail,0
5,1) $0 - $100,Surburban,既存,Web,No E-Mail,0
6,1) $0 - $100,Urban,新規,Web,Mens E-Mail,0
2,5) $500 - $750,Urban,新規,Multichannel,Womens E-Mail,0
8,2) $100 - $200,Surburban,新規,Phone,No E-Mail,0
3,1) $0 - $100,Urban,既存,Web,Mens E-Mail,0
10,2) $100 - $200,Urban,既存,Phone,Womens E-Mail,0
4,3) $200 - $350,Rural,新規,Web,Womens E-Mail,0
2,2) $100 - $200,Surburban,新規,Web,No E-Mail,0
8,2) $100 - $200,Urban,既存,Phone,No E-Mail,0
7,1) $0 - $100,Rural,既存,Web,Mens E-Mail,0
10,1) $0 - $100,Surburban,既存,Phone,Womens E-Mail,0
1,3) $200 - $350,Surburban,既存,Web,Womens E-Mail,0
2,3) $200 - $350,Urban,既存,Multichannel,No E-Mail,0
9,3) $200 - $350,Surburban,既存,Phone,Womens E-Mail,0
5,4) $350 - $500,Urban,既存,Web,Mens E-Mail,0
10,2) $100 - $200,Urban,既存,Web,No E-Mail,0
11,2) $100 - $200,Urban,既存,Web,Mens E-Mail,0
5,2) $100 - $200,Surburban,新規,Phone,Womens E-Mail,0
5,3) $200 - $350,Urban,新規,Web,No E-Mail,0
4,1) $0 - $100,Surburban,新規,Phone,Womens E-Mail,0
11,1) $0 - $100,Urban,既存,Web,Mens E-Mail,0
10,1) $0 - $100,Urban,新規,Web,Mens E-Mail,0
1,5) $500 - $750,Surburban,新規,Multichannel,Mens E-Mail,0
4,"6) $750 - $1,000",Rural,新規,Multichannel,No E-Mail,0
1,1) $0 - $100,Surburban,既存,Web,Mens E-Mail,0
2,1) $0 - $100,Surburban,新規,Phone,Mens E-Mail,0
2,"7) $1,000 +",Surburban,新規,Web,No E-Mail,0
1,"6) $750 - $1,000",Urban,新規,Phone,No E-Mail,0
2,2) $100 - $200,Surburban,新規,Phone,No E-Mail,0
9,3) $200 - $350,Rural,既存,Phone,No E-Mail,0
8,1) $0 - $100,Urban,新規,Phone,No E-Mail,0
2,4) $350 - $500,Surburban,既存,Multichannel,No E-Mail,0
9,3) $200 - $350,Urban,既存,Web,Womens E-Mail,0
1,2) $100 - $200,Surburban,新規,Web,Womens E-Mail,0
3,1) $0 - $100,Surburban,既存,Web,Mens E-Mail,0
9,2) $100 - $200,Surburban,新規,Web,Womens E-Mail,0
10,1) $0 - $100,Surburban,既存,Web,Mens E-Mail,0
3,1) $0 - $100,Surburban,新規,Phone,Womens E-Mail,0
4,3) $200 - $350,Urban,既存,Phone,Womens E-Mail,1
4,2) $100 - $200,Surburban,既存,Phone,Womens E-Mail,0
7,3) $200 - $350,Urban,既存,Web,Mens E-Mail,0
1,1) $0 - $100,Rural,新規,Phone,Mens E-Mail,0
4,3) $200 - $350,Urban,新規,Phone,Womens E-Mail,0
5,1) $0 - $100,Surburban,新規,Phone,Mens E-Mail,0
1,3) $200 - $350,Surburban,既存,Multichannel,No E-Mail,0
6,1) $0 - $100,Urban,既存,Phone,Mens E-Mail,0
6,4) $350 - $500,Surburban,既存,Multichannel,Womens E-Mail,0
6,1) $0 - $100,Surburban,新規,Web,Womens E-Mail,0
2,4) $350 - $500,Surburban,既存,Web,Womens E-Mail,0
10,4) $350 - $500,Urban,既存,Web,Mens E-Mail,0
9,1) $0 - $100,Urban,既存,Web,Mens E-Mail,0
9,3) $200 - $350,Urban,既存,Multichannel,Mens E-Mail,0
5,2) $100 - $200,Surburban,既存,Phone,Womens E-Mail,0
6,1) $0 - $100,Surburban,既存,Phone,Mens E-Mail,0
2,4) $350 - $500,Urban,新規,Web,Womens E-Mail,0
3,4) $350 - $500,Surburban,既存,Phone,No E-Mail,0
1,2) $100 - $200,Surburban,既存,Phone,Mens E-Mail,0
6,2) $100 - $200,Surburban,既存,Phone,Womens E-Mail,0
8,1) $0 - $100,Urban,新規,Web,Mens E-Mail,0
11,1) $0 - $100,Surburban,既存,Web,Womens E-Mail,0
2,4) $350 - $500,Urban,新規,Web,Womens E-Mail,0
1,2) $100 - $200,Urban,既存,Phone,Womens E-Mail,0
4,3) $200 - $350,Urban,新規,Phone,Mens E-Mail,0
1,2) $100 - $200,Surburban,既存,Web,Mens E-Mail,0
10,1) $0 - $100,Urban,新規,Phone,No E-Mail,0
3,2) $100 - $200,Surburban,新規,Web,Womens E-Mail,0
2,1) $0 - $100,Surburban,既存,Web,Mens E-Mail,0
5,3) $200 - $350,Urban,新規,Web,No E-Mail,0
1,"6) $750 - $1,000",Urban,新規,Web,No E-Mail,0
10,2) $100 - $200,Urban,新規,Phone,Mens E-Mail,0
10,3) $200 - $350,Urban,既存,Multichannel,No E-Mail,0
6,2) $100 - $200,Surburban,既存,Phone,No E-Mail,0
1,4) $350 - $500,Urban,既存,Phone,Mens E-Mail,0
1,1) $0 - $100,Urban,新規,Web,Mens E-Mail,0
3,3) $200 - $350,Surburban,新規,Web,No E-Mail,0
1,4) $350 - $500,Surburban,既存,Phone,Mens E-Mail,0
3,1) $0 - $100,Urban,既存,Phone,No E-Mail,0
6,4) $350 - $500,Surburban,既存,Phone,No E-Mail,0
4,2) $100 - $200,Urban,既存,Web,Mens E-Mail,0
10,3) $200 - $350,Surburban,既存,Web,Mens E-Mail,0
7,1) $0 - $100,Surburban,既存,Web,No E-Mail,0
4,1) $0 - $100,Surburban,既存,Web,Mens E-Mail,0
10,3) $200 - $350,Rural,既存,Multichannel,Womens E-Mail,0
12,4) $350 - $500,Rural,新規,Multichannel,No E-Mail,0
12,1) $0 - $100,Urban,新規,Phone,Womens E-Mail,0
10,3) $200 - $350,Urban,既存,Phone,Womens E-Mail,0
1,2) $100 - $200,Surburban,新規,Web,No E-Mail,0
4,1) $0 - $100,Urban,新規,Web,Mens E-Mail,0
7,5) $500 - $750,Rural,新規,Multichannel,Womens E-Mail,0
3,3) $200 - $350,Rural,既存,Multichannel,No E-Mail,0
1,3) $200 - $350,Surburban,既存,Multichannel,Mens E-Mail,0
2,2) $100 - $200,Surburban,既存,Web,Mens E-Mail,0
2,2) $100 - $200,Rural,新規,Web,Womens E-Mail,0
4,5) $500 - $750,Urban,新規,Web,No E-Mail,0
12,2) $100 - $200,Surburban,既存,Phone,Womens E-Mail,0
9,1) $0 - $100,Surburban,既存,Phone,Womens E-Mail,0
11,2) $100 - $200,Urban,新規,Web,Mens E-Mail,0
10,2) $100 - $200,Urban,既存,Web,No E-Mail,0
5,2) $100 - $200,Urban,既存,Web,Womens E-Mail,0
4,2) $100 - $200,Surburban,既存,Phone,No E-Mail,0
2,1) $0 - $100,Urban,新規,Phone,No E-Mail,0
10,1) $0 - $100,Urban,既存,Web,Womens E-Mail,0
3,2) $100 - $200,Urban,既存,Phone,Mens E-Mail,0
10,1) $0 - $100,Surburban,既存,Web,No E-Mail,1
1,1) $0 - $100,Urban,新規,Phone,Mens E-Mail,0
4,1) $0 - $100,Surburban,既存,Web,Womens E-Mail,0
4,5) $500 - $750,Surburban,新規,Web,No E-Mail,0
6,3) $200 - $350,Surburban,新規,Multichannel,Mens E-Mail,0
11,1) $0 - $100,Urban,既存,Web,Womens E-Mail,0
2,5) $500 - $750,Rural,新規,Multichannel,Womens E-Mail,0
1,2) $100 - $200,Rural,新規,Web,Womens E-Mail,0
10,3) $200 - $350,Urban,既存,Phone,No E-Mail,0
1,"7) $1,000 +",Urban,新規,Phone,Mens E-Mail,0
3,1) $0 - $100,Urban,既存,Web,No E-Mail,0
3,5) $500 - $750,Urban,新規,Phone,Mens E-Mail,0
7,4) $350 - $500,Surburban,新規,Phone,Womens E-Mail,0
6,5) $500 - $750,Urban,新規,Phone,Mens E-Mail,0
10,1) $0 - $100,Rural,既存,Web,Mens E-Mail,0
2,4) $350 - $500,Urban,既存,Multichannel,Womens E-Mail,0
7,1) $0 - $100,Surburban,新規,Phone,Mens E-Mail,0
1,1) $0 - $100,Urban,既存,Phone,No E-Mail,0
11,1) $0 - $100,Urban,既存,Phone,No E-Mail,0
2,1) $0 - $100,Urban,既存,Web,Womens E-Mail,0
5,5) $500 - $750,Surburban,新規,Multichannel,Womens E-Mail,0
4,1) $0 - $100,Surburban,新規,Web,No E-Mail,0
6,1) $0 - $100,Rural,新規,Phone,Mens E-Mail,0
9,1) $0 - $100,Urban,既存,Web,Womens E-Mail,0
5,5) $500 - $750,Rural,新規,Web,Mens E-Mail,0
4,1) $0 - $100,Urban,既存,Phone,Womens E-Mail,0
6,2) $100 - $200,Rural,新規,Web,No E-Mail,0
2,"6) $750 - $1,000",Urban,新規,Phone,Womens E-Mail,0
9,2) $100 - $200,Urban,既存,Phone,Mens E-Mail,0
2,3) $200 - $350,Urban,新規,Multichannel,No E-Mail,0
1,4) $350 - $500,Urban,既存,Phone,Womens E-Mail,0
10,3) $200 - $350,Rural,既存,Web,No E-Mail,0
12,1) $0 - $100,Surburban,既存,Phone,Womens E-Mail,0
8,3) $200 - $350,Surburban,既存,Phone,Mens E-Mail,0
11,2) $100 - $200,Surburban,既存,Phone,Womens E-Mail,0
11,3) $200 - $350,Surburban,既存,Multichannel,Womens E-Mail,0
9,5) $500 - $750,Rural,新規,Web,No E-Mail,0
3,1) $0 - $100,Surburban,新規,Phone,No E-Mail,0
5,1) $0 - $100,Rural,既存,Web,No E-Mail,0
4,1) $0 - $100,Surburban,新規,Phone,Mens E-Mail,0
10,3) $200 - $350,Surburban,既存,Web,No E-Mail,0
7,3) $200 - $350,Urban,既存,Phone,No E-Mail,0
4,3) $200 - $350,Surburban,新規,Web,Womens E-Mail,0
10,1) $0 - $100,Surburban,新規,Phone,Mens E-Mail,0
10,4) $350 - $500,Surburban,既存,Web,Womens E-Mail,0
5,3) $200 - $350,Urban,新規,Phone,No E-Mail,0
9,1) $0 - $100,Rural,新規,Phone,Womens E-Mail,0
9,1) $0 - $100,Surburban,既存,Phone,Mens E-Mail,0
5,3) $200 - $350,Urban,既存,Phone,Mens E-Mail,0
11,2) $100 - $200,Urban,既存,Phone,Mens E-Mail,0
2,1) $0 - $100,Urban,新規,Web,Mens E-Mail,0
7,3) $200 - $350,Urban,既存,Multichannel,No E-Mail,0
2,2) $100 - $200,Rural,新規,Web,Womens E-Mail,0
1,"7) $1,000 +",Rural,新規,Web,No E-Mail,0
5,5) $500 - $750,Urban,新規,Web,Womens E-Mail,0
8,1) $0 - $100,Urban,新規,Phone,Womens E-Mail,0
10,1) $0 - $100,Surburban,既存,Web,Mens E-Mail,0
4,4) $350 - $500,Urban,既存,Web,No E-Mail,0
6,1) $0 - $100,Surburban,新規,Phone,Mens E-Mail,0
9,5) $500 - $750,Surburban,新規,Web,Mens E-Mail,0
3,5) $500 - $750,Surburban,新規,Web,No E-Mail,0
1,1) $0 - $100,Urban,新規,Phone,Mens E-Mail,0
3,"7) $1,000 +",Urban,新規,Web,Womens E-Mail,0
5,2) $100 - $200,Surburban,既存,Phone,No E-Mail,0
7,1) $0 - $100,Surburban,既存,Phone,No E-Mail,0
3,1) $0 - $100,Urban,既存,Phone,Mens E-Mail,0
9,2) $100 - $200,Urban,既存,Web,No E-Mail,0
1,5) $500 - $750,Urban,新規,Web,No E-Mail,0
3,3) $200 - $350,Surburban,既存,Web,Womens E-Mail,0
5,5) $500 - $750,Surburban,新規,Multichannel,Womens E-Mail,0
7,2) $100 - $200,Urban,既存,Phone,No E-Mail,0
2,2) $100 - $200,Rural,新規,Web,Womens E-Mail,0
5,"6) $750 - $1,000",Surburban,新規,Phone,No E-Mail,0
10,2) $100 - $200,Surburban,既存,Phone,Womens E-Mail,0
7,5) $500 - $750,Surburban,新規,Web,Mens E-Mail,0
7,1) $0 - $100,Urban,既存,Web,No E-Mail,0
9,2) $100 - $200,Urban,既存,Phone,Womens E-Mail,0
2,"6) $750 - $1,000",Surburban,新規,Web,Womens E-Mail,0
5,1) $0 - $100,Surburban,既存,Phone,Womens E-Mail,0
2,3) $200 - $350,Urban,新規,Multichannel,Womens E-Mail,0
5,1) $0 - $100,Urban,既存,Phone,No E-Mail,0
4,4) $350 - $500,Urban,新規,Web,Mens E-Mail,0
7,3) $200 - $350,Urban,既存,Multichannel,No E-Mail,0
3,1) $0 - $100,Surburban,新規,Web,Womens E-Mail,0
2,3) $200 - $350,Urban,既存,Web,Womens E-Mail,0
6,1) $0 - $100,Urban,新規,Phone,Mens E-Mail,0
4,5) $500 - $750,Rural,新規,Web,Womens E-Mail,0
1,3) $200 - $350,Surburban,既存,Phone,Womens E-Mail,0
1,3) $200 - $350,Surburban,既存,Multichannel,No E-Mail,0
8,"7) $1,000 +",Surburban,新規,Phone,Mens E-Mail,0
8,1) $0 - $100,Urban,新規,Phone,Womens E-Mail,0
9,1) $0 - $100,Surburban,新規,Phone,No E-Mail,0
3,2) $100 - $200,Surburban,新規,Web,Mens E-Mail,0
9,1) $0 - $100,Urban,新規,Web,No E-Mail,0
